gsr_max,gsr_min,gsr_mean,gsr_sd,hrate_mean,temp_avg,fear,angry,happy,sad,class
5.44,4.86,5.047857143,0.091989312,100.8305,39,3,1,1,4,3
5.05,5.44,5.191756757,0.071679616,97.9223,39.1,1,1,1,4,3
5.74,5.25,5.376933333,0.115182648,94.8619,37.9,1,2,3,1,2
1.05,0,0.006774194,0.08433803,88.7618,39,1,1,1,5,3
0,0,0,0,98.7636,36.8,5,1,1,1,1
0,0,0,0,102.7986,37.8,1,1,5,1,2
0,0,0,0,120.8478,36.9,1,4,1,2,1
0,0,0,0,110.7319,38.9,1,1,1,2,3
4.96,3.78,4.65225,0.227918836,90.7343,36.5,5,1,2,4,0
6.62,5.15,6.10619469,0.412863084,91.7414,36.7,4,1,2,2,0
7.11,5.84,6.156486486,0.203930101,85.6845,36.6,4,1,1,1,0
7.5,6.42,6.804666667,0.251865115,89.724,36.9,1,5,1,2,1
6.72,5.54,6.06503937,0.312277537,82.7824,36.8,4,5,1,1,1
9.45,4.66,6.398089888,1.324806244,80.8048,36.5,5,1,1,1,0
12.68,4.17,7.497272727,2.854144146,100.7843,36.8,2,3,1,2,1
14.83,8.57,10.60238318,1.563510683,102.7536,37.3,2,5,1,2,1
15.12,9.75,11.74652695,1.205925095,88.7907,36.5,5,1,1,3,0
18.74,14.63,16.41734375,1.081744978,86.7312,37.8,1,1,3,1,2
13.26,9.06,10.12144068,0.823790774,98.7598,36.6,5,1,1,2,0
16.59,9.84,12.06697183,1.648717528,103.7711,39,1,1,1,5,3
17.08,9.75,12.99387597,1.302305834,100.785,37,1,5,1,1,1
18.25,11.6,13.92365169,1.577513466,101.9631,39.1,1,2,1,5,3
18.54,9.65,12.26589286,1.826769333,88.8027,37.7,1,1,5,1,2
1.63,1.34,1.483649635,0.056175616,115.9829,36.6,5,1,1,4,0
1.44,1.34,1.340970874,0.009853293,91.9184,36.9,1,5,1,3,1
1.44,1.24,1.351049724,0.033157918,96.873,37.4,2,4,1,2,1
1.44,1.34,1.422432432,0.038183617,110.0685,36.6,5,1,1,4,0
1.53,1.34,1.444693878,0.028170375,110.3069,37.1,1,5,1,3,1
5.05,3.2,4.079036145,0.390179801,115.1623,37.2,1,5,1,3,1
5.44,4.17,4.689055118,0.216562001,112.1145,38.8,4,1,1,5,3
5.74,4.37,5.016481481,0.290296903,98.8538,37.9,1,1,4,1,2
5.35,4.27,4.59872549,0.224392123,100.1304,36.5,5,1,1,4,0
6.03,3.59,4.456363636,0.58431359,95.3366,39.1,1,1,1,5,3
4.08,2.71,3.38064,0.312187247,108.3676,37.3,1,5,1,2,1
4.17,3.1,3.5164,0.210458026,84.9308,39,1,1,1,4,3
4.08,2.71,3.179489796,0.388946164,79.9319,39.1,1,2,1,4,3
4.96,3,3.557857143,0.382910684,98.1565,37.8,1,1,5,1,2
4.66,3,3.586392694,0.422728415,100.9067,37.6,1,4,5,4,2
1.93,1.53,1.752727273,0.089093559,85.8654,38.8,3,1,1,4,3
